,0
0,42.190986443
1,39.7130883319
2,38.8145730384
3,39.5055752212
4,38.2504905329
5,37.3680652049
6,37.983542431
7,38.7216865946
8,39.0066918289
9,40.2484520722
10,41.6012893521
11,42.0412170841
12,42.6366045188
13,42.1648565792
14,42.3264540182
15,42.565581863
16,42.6819487205
17,42.3283425688
18,39.77327085
19,38.610949723
20,43.190346162
21,43.939636955
22,43.5103775278
23,43.286790365
24,44.3412247866
25,46.7699929903
26,50.8491534292
27,55.2503188299
28,70.1755127268
29,72.3400634022
30,71.7226156716
31,60.058523925
32,59.5184040039
33,57.5966885212
34,55.0578062011
35,60.6214310909
36,62.5477691303
37,60.191903165
38,60.0649884471
39,60.6947659437
40,61.1046589145
41,65.8121352334
42,64.1684244904
43,61.4295134352
44,61.7901086594
45,62.4511023929
46,61.7592668333
47,63.1824166218
48,63.0570462655
49,61.5831372599
50,60.4957159628
51,65.078390799
52,72.086507853
53,73.4466687999
54,72.2351849913
55,73.9442350432
56,72.5844976296
57,71.9610493319
58,71.088533413
59,69.1904885924
60,70.9680517991
61,73.7946080497
62,74.1545413481
63,75.0517564781
64,75.1470847258
65,75.0751260824
66,75.2171047604
67,75.3558328875
68,75.5967517578
69,75.5357380675
70,75.4966397694
71,75.8232818528
72,75.7494594484
73,76.0789087744
74,99.7829739545
75,94.6622916775
76,87.9548607245
77,103.967706903
78,80.5762078966
79,81.3621225919
80,81.9155644785
81,77.4881150515
82,77.1648810502
83,78.0776764308
84,76.5928949158
85,76.2847332146
86,77.3217657725
87,77.5226589521
88,77.3286751499
89,76.801851143
90,77.1722408284
91,76.4109052458
92,75.6821845916
93,75.5928923048
94,75.3361942993
95,75.115052052
96,75.2034422953
97,75.4443136772
98,77.063744622
99,76.1020164475
100,75.2055718912
101,74.9989704226
102,74.9462239557
103,74.3857753158
104,73.2877420444
105,74.9876670737
106,75.0068506097
107,74.9716918302
108,75.1181713506
109,75.136393108
110,74.9985917436
111,75.0187217441
112,75.0002761167
113,75.173201397
114,75.2032483001
115,75.0522245566
116,75.0152309845
117,75.0588264861
118,74.8997541212
119,74.0783642124
120,72.8581221025
121,74.7046317784
122,75.0765121214
123,75.0467436931
124,74.7711885791
125,73.6068655617
126,66.4846453261
127,60.0685386417
128,57.4926961256
129,54.5867973327
130,54.9922164351
131,58.4529955452
132,57.7549715204
133,66.4976890373
134,68.1594591444
135,62.3963981264
136,73.9912721087
137,72.5790845919
138,61.2034386447
139,60.0420339364
140,62.7804446051
141,68.0840781099
142,59.4928112858
143,62.6756607263
144,62.0089404056
145,60.7613704089
146,57.8745741839
147,60.6372421884
148,68.1763068475
149,73.5687508521
150,64.5071743309
151,68.779182921
152,71.2190838462
153,73.5691375247
154,73.7175950903
155,71.9543695644
156,67.6019979957
157,63.3936311816
158,62.4357501404
159,64.0942919162
160,62.0145477367
161,61.9601811581
162,62.8483084036
163,62.7128999134
164,65.4749083232
165,73.489778594
166,73.7498619869
167,71.015965953
168,67.0037002124
169,48.3516065165
170,43.3169040196
171,46.2424850424
172,46.3652122435
173,42.2995534532
174,36.8630375343
175,37.5149810435
176,38.3648770272
177,36.9763688703
178,35.57727093
179,36.3288934726
180,38.1155593063
181,36.3477714051
182,35.2195119062
183,35.0914085578
184,37.1129187547
185,38.3665417602
186,41.0689782843
187,39.2186840457
188,39.7600550305
189,57.7089226254
190,55.8361514351
191,55.3896074888
192,55.2047298035
193,55.3268497038
194,54.817705648
195,54.0409200717
196,54.2913533621
197,56.2120268026
198,55.6050776076
199,55.0836048329
200,55.5653877823
201,55.5792819552
202,54.8501000434
203,55.1079855627
204,54.4051203345
205,52.5088352802
206,53.5045380843
207,52.6833708006
208,52.9154473897
209,53.7439570037
210,50.9602944958
211,51.5529624159
212,50.8947898957
213,45.8173850131
214,47.4668221532
215,46.629333153
216,43.8436397153
217,42.9259995944
218,46.3156522388
219,48.2805239973
220,49.5928770383
221,51.5209509923
222,54.8728322609
223,52.8254566051
224,49.6566362512
225,49.3362245788
226,45.7260012021
227,43.9232801113
228,40.66096468
229,41.8620459409
230,44.7661004817
231,38.7186691723
232,37.747169068
233,41.0950433074
234,44.793045593
235,48.9168256805
236,43.2122396988
237,38.5077538949
238,41.5993651618
239,43.360845769
240,43.9073208762
241,43.1540075658
242,44.413267562
243,45.5397098969
244,45.4876300559
245,43.2008101226
246,42.472297675
247,42.3394352465
248,39.1512017503
249,36.1479679719
250,36.8194819012
251,39.2108217526
252,40.4404251394
253,40.3357050638
254,44.3288169692
255,46.1972854282
256,48.4142329223
257,47.7920483308
258,49.1611315215
259,48.7382890668
260,49.9853372431
261,51.4125056374
262,51.8728738448
263,50.57690946
264,50.9196518668
265,53.3345372855
266,50.579724509
267,53.8823364172
268,54.3585132944
269,54.26812409
270,54.5062657853
271,54.0629289139
272,54.6140786113
273,53.2618983811
274,53.5251564136
275,51.8250518852
276,50.3879200411
277,49.139098919
278,52.8326071873
279,51.7410885116
280,53.3530122849
281,52.5287749869
282,51.5441739951
283,46.6145650691
284,54.031030969
285,53.3662515386
286,51.6830962422
287,51.1426829212
288,50.7274946953
289,53.8462435334
290,53.9484877796
291,53.0280020531
292,54.5953641886
293,55.7278226302
294,58.5638738611
295,57.3641567339
296,55.9439797789
297,56.0870766577
298,53.0113988651
299,51.553000057
300,52.8491444735
301,52.8418472176
302,52.4440083852
303,51.1177706412
304,51.9277789564
305,51.8005842652
306,47.302631316
307,47.7891858823
308,48.1065981159
309,52.6672942776
310,50.8012057056
311,49.2223523659
312,45.13115464
313,46.8886605812
314,48.6905276226
315,47.9243491178
316,39.1454602412
317,34.7818328354
318,35.8760496068
319,35.1805543152
320,34.3772298282
321,35.4071708424
322,33.3804669349
323,33.314636017
324,34.1605417825
325,36.2409788946
326,38.9176359009
327,38.1174458173
328,35.8373776359
329,32.6655646662
330,32.1001831311
331,32.5619104137
332,32.2479709837
333,31.8439863011
334,31.530734744
335,33.2251395369
336,31.1376678576
337,29.2550829009
338,31.348536905
339,33.9678775394
340,34.3440754236
341,32.6750283989
342,29.6787864761
343,28.0926392434
344,29.1903135155
345,27.5375195992
346,26.1773286535
347,26.1028683067
348,23.8517395647
349,26.1290236576
350,25.5189190798
351,27.795044197
352,27.7484910456
353,29.8049280207
354,29.153223208
355,31.100411076
356,34.0409436981
357,36.3006460873
358,36.9454140724
359,35.727028624
360,33.9454997786
361,34.9729074778
362,35.902439182
363,36.2172319774
364,34.8122579145
365,36.4331078126
366,35.9884920853
367,34.9992123256
368,34.0366858062
369,36.0421048737
370,34.8873907263
371,36.784623256
372,35.8657254865
373,36.5450216886
374,34.5699192171
375,33.3009564845
376,33.8820400192
377,35.4298974265
378,33.4862013535
379,35.573061375
380,35.0630596295
381,34.9471237931
382,33.5175863396
383,34.7195393524
384,31.9318340405
385,30.1471423263
386,30.6978976411
387,31.0427712788
388,30.4667530258
389,31.1148737716
390,30.6296808433
391,32.1657579051
392,31.6991540048
393,30.5602306021
394,30.5932552785
395,29.6276505289
396,27.6857861477
397,27.6226829216
398,27.6133127212
399,26.6584359672
400,26.1372891013
401,26.2379548233
402,26.5152517419
403,26.4412133215
404,25.8456981168
405,26.9437837036
406,28.0661628567
407,29.1382542803
408,29.8681906115
409,29.3708281119
410,28.8238113525
411,27.4577371874
412,27.1537260909
413,25.8453577816
414,25.9238086279
415,27.4240088194
416,27.1192438446
417,25.7353228829
418,25.5923245866
419,25.8972385444
420,25.9491302545
421,26.1770574585
422,25.1305999652
423,25.0858260056
424,25.5292563823
425,26.1733770548
426,26.1592757776
427,26.2420782446
428,26.5490743554
429,28.1103036215
430,28.043190465
431,28.1848901441
432,27.8197494395
433,26.9380241137
434,26.2994834839
435,26.0025116643
436,26.2082516525
437,26.1918056295
438,26.1434351014
439,24.7896210412
440,25.1156320573
441,24.3025985185
442,24.3006976816
443,25.5179818502
444,24.7643681667
445,25.0739321774
446,25.6523368816
447,24.8928692175
448,25.2000191045
449,24.7699692385
450,24.3095232793
451,25.0710522753
452,24.1051575222
453,23.6091342293
454,22.5791457497
455,22.163909133
456,20.5095003355
457,20.3594068187
458,20.5621376296
459,20.8256835157
460,18.0688946698
461,15.2589688055
462,20.7564648136
463,20.7970901219
464,18.3839141005
465,16.9394352941
466,19.9380914816
467,19.697303014
468,20.0138811679
469,20.2862850814
470,21.5669449483
471,20.061540055
472,20.3152566037
473,19.4460329239
474,21.9217291068
475,22.8745844569
476,21.6803846266
477,21.828194419
478,22.8538445463
479,22.2606913166
480,22.0451967874
481,21.8554664191
482,21.8226305791
483,21.8810444661
484,22.5287596397
485,23.0248089314
486,23.0141917607
487,22.1952824679
488,21.7644355428
489,21.1257913583
490,21.1662938714
491,21.5322893407
492,22.5663253529
493,23.8928620773
494,23.8458023569
495,23.5770573377
496,23.4091923279
497,23.2814309426
498,23.7063526491
499,23.847805736
500,23.2723623596
501,23.1838407808
502,23.1634058335
503,22.8699426795
504,23.1341671808
505,23.6662941087
506,24.8123106065
507,25.0004105852
508,25.1547663623
509,25.3994757308
510,24.9969880519
511,25.3567043422
512,25.5296854398
513,26.6837288114
514,26.644587383
515,26.9443598681
516,26.9534897172
517,26.6110186147
518,26.7743056493
519,25.5344588937
520,25.9002445715
521,26.0831762401
522,25.5011311815
523,25.6240583346
524,25.1500226238
525,25.8670870209
526,25.8688528343
527,25.4724772141
528,26.1803764525
529,25.9175606056
530,25.8584638754
531,26.5041601637
532,28.3982632584
533,29.3041794302
534,29.4389273136
535,29.4862515074
536,28.9019575159
537,28.6690845575
538,27.7145701623
539,27.5553864589
540,27.0158117276
541,26.2647202165
542,26.1369597792
543,25.7806758252
544,24.5302444372
545,26.0632213753
546,25.8572694864
547,26.1723830751
548,26.4272530965
549,26.0422440896
550,26.4241548115
551,26.9686527954
552,26.3448185469
553,25.7628858526
554,24.9707417117
555,25.0037999642
556,24.5260990713
557,24.3092478801
558,25.3025140169
559,24.8638157294
560,25.2493864707
561,25.3163588467
562,24.6759221379
563,25.5934680768
564,25.9113569414
565,25.5422825205
566,25.8165830931
567,26.0947955485
568,26.8337645796
569,28.5309364631
570,28.3414931787
571,29.7135610383
572,31.2983281054
573,31.5436288711
574,31.768752995
575,32.0612669369
576,33.0548948682
577,32.6986746764
578,32.9603782532
579,32.9323616559
580,33.1470865961
581,34.1206771604
582,34.2002035995
583,33.3556816701
584,32.0032093048
585,32.2511622623
586,31.9357335339
587,31.2414383255
588,31.2098116034
589,31.2861026384
590,32.0383475286
591,33.3532014047
592,33.7157255412
593,32.8204765454
594,31.7740117016
595,30.8728404996
596,31.2930574253
597,30.5820245096
598,30.1284666859
599,29.6061661279
600,29.5777112589
601,29.9861805542
602,31.1172763178
603,31.6616971341
604,32.1393602335
605,31.9405213351
606,31.3043010928
607,30.2016674831
608,28.6214377424
609,28.3489500004
610,27.2242810776
611,27.0994702658
612,27.097264628
613,27.2156784426
614,26.3439438378
615,25.736303585
616,25.7781359239
