,0
0,34.8699061775
1,29.2530136069
2,31.5195343085
3,32.4004341727
4,32.1236050857
5,32.729834837
6,32.7445019317
7,32.8919972348
8,32.8744852837
9,33.0786963905
10,33.235493894
11,32.8032546517
12,31.6560211411
13,30.597721482
14,30.0612319889
15,29.7811859947
16,29.6546821975
17,29.5473102913
18,28.5884916547
19,28.4039471975
20,29.9220500555
21,30.0489608035
22,29.7702191752
23,29.8942214435
24,30.0980915647
25,30.6341497946
26,31.4684761167
27,32.7180246348
28,34.2613197246
29,35.6637772429
30,35.3340456371
31,33.7076429915
32,33.4326830858
33,32.9505375088
34,32.5879259152
35,33.3724785454
36,33.5909496765
37,33.520390939
38,33.4999875276
39,33.3949139623
40,33.5071740562
41,33.831407199
42,33.961584311
43,35.1063876788
44,36.4551828777
45,36.8190825779
46,37.2964273041
47,37.5524534967
48,37.5189509222
49,37.4763013811
50,37.41709464
51,37.8670635488
52,37.8789249768
53,38.4325106742
54,38.0641485825
55,39.1073247086
56,37.9960588301
57,38.2652297643
58,37.935722766
59,37.8745482787
60,38.1206312896
61,38.5607860447
62,39.0607832715
63,45.4531861983
64,56.3029043105
65,63.7204724688
66,77.2955061244
67,74.3580480809
68,94.020988475
69,71.1301690545
70,91.4050894097
71,90.3344032401
72,91.9652716427
73,92.9832484204
74,96.4233474133
75,97.0050724316
76,97.3676635803
77,97.1644537528
78,96.7428292345
79,97.3420923746
80,96.4886193517
81,94.8336675683
82,95.9501517808
83,96.0193636346
84,93.3000960776
85,94.9107656677
86,95.9260511872
87,95.8289750915
88,95.651102832
89,94.729673502
90,95.9767640027
91,89.1854769757
92,93.1445856225
93,74.9264156585
94,82.277897929
95,46.0660004334
96,76.3546752866
97,86.4450774425
98,95.7367430994
99,71.8763465705
100,82.6641149409
101,42.363650606
102,45.3889222416
103,38.4611404385
104,38.3904284846
105,42.7017326363
106,41.4176502037
107,47.3721404107
108,58.6091638656
109,50.2959509707
110,54.9379116455
111,47.0647585476
112,40.5065162303
113,78.8955410077
114,62.0408079137
115,60.1272823979
116,43.0211363222
117,53.9366770162
118,40.7843046583
119,38.6176135733
120,38.1439393111
121,40.3316607248
122,45.2270608015
123,53.8482509361
124,40.3296902493
125,38.1415297261
126,37.6216943023
127,37.4619010783
128,37.33813565
129,37.2825049528
130,37.3391608934
131,37.6947836286
132,37.4351270629
133,38.3408069519
134,37.7415807933
135,37.8769757472
136,39.579877386
137,37.6019469518
138,37.8456371725
139,37.621224654
140,37.4666259129
141,37.8847001742
142,37.2868816793
143,37.9423234204
144,37.4481277433
145,37.5511938835
146,37.343316515
147,37.7024080829
148,37.8235662766
149,39.0616272654
150,37.5987176767
151,38.1274434603
152,37.7845813559
153,38.6545176805
154,38.4122708189
155,38.10409038
156,37.7869290964
157,37.591300072
158,37.558181835
159,37.5775236246
160,37.4321892504
161,37.5276812406
162,37.5453747228
163,37.5117245165
164,37.7266430494
165,38.1406678616
166,38.2197942201
167,37.9698592928
168,37.7112561091
169,37.1117588806
170,37.083821151
171,37.0631627844
172,36.6948954712
173,36.3919525095
174,35.7800968697
175,35.4514518051
176,35.3926151053
177,35.1846300825
178,34.6369913719
179,35.1357855131
180,35.4364593338
181,34.8785160823
182,34.2729315673
183,34.448501372
184,34.9661361016
185,35.9236300838
186,36.4562996561
187,36.1595750487
188,36.1528437025
189,37.4082520803
190,37.4252889277
191,37.4008565117
192,37.3566580209
193,37.3549209281
194,37.3288298685
195,37.3143106311
196,37.3243574056
197,37.4605373322
198,37.3404281868
199,37.3768759098
200,37.364611746
201,37.346931737
202,37.3408698108
203,37.3484878625
204,37.3108622265
205,37.2772976862
206,37.3013431389
207,37.2739890422
208,37.290247167
209,37.3172265805
210,37.2315909256
211,37.2417789597
212,37.1926874174
213,36.8880008514
214,37.0304308717
215,36.8899125457
216,36.6444553009
217,36.6151545359
218,36.8630712244
219,36.9486978755
220,37.0740446637
221,37.1739143328
222,37.3412886153
223,37.2747593462
224,37.1906711735
225,37.1301273322
226,36.8628904931
227,36.7204620238
228,36.2084280389
229,36.442193522
230,36.7240348721
231,35.4563684423
232,35.7727276041
233,36.4171189334
234,36.7812055749
235,37.1315834292
236,36.4914533212
237,36.0001212587
238,36.5910036533
239,36.5289957438
240,36.5915732948
241,36.6487378042
242,36.7683348211
243,36.8202090299
244,36.7431862788
245,36.5759176025
246,36.6106676846
247,36.4422855564
248,35.8867840486
249,34.6155806247
250,34.9269735726
251,36.3001793593
252,36.3184898895
253,36.353788949
254,36.7810095108
255,36.9594623283
256,36.927656875
257,36.9308611008
258,37.0687870064
259,37.0507192584
260,37.1158650877
261,37.182292086
262,37.186376175
263,37.1528917338
264,37.1789718951
265,37.2650369935
266,37.1773866798
267,37.3058549753
268,37.3434687653
269,37.3179698044
270,37.350323388
271,37.3086743552
272,37.3414937672
273,37.288846901
274,37.3072056098
275,37.2533594628
276,37.2020693635
277,37.1269026243
278,37.2611054517
279,37.2164483679
280,37.2845604344
281,37.2722485251
282,37.2354639476
283,36.9880009898
284,37.3190326981
285,37.3054229195
286,37.253229279
287,37.2287228214
288,37.1766753399
289,37.2896857836
290,37.3194794892
291,37.2889137037
292,37.3577995913
293,37.3966028656
294,37.599844861
295,37.410011586
296,37.3856038979
297,37.3730303175
298,37.2598040111
299,37.2580335137
300,37.2775198453
301,37.2747623594
302,37.2790969679
303,37.2300313225
304,37.2421791966
305,37.227595114
306,37.0076251567
307,37.0498384704
308,37.0284682408
309,37.2213452129
310,37.1592502049
311,37.0994932333
312,36.8807281645
313,36.9809111475
314,37.0052780056
315,36.9522142691
316,35.8436757254
317,34.7644484207
318,34.3349001765
319,34.2320050057
320,34.2012655169
321,34.3832536348
322,33.4589344121
323,33.5709348928
324,34.3078665967
325,34.8111313066
326,35.9371977331
327,35.5994813888
328,34.2837262782
329,32.9816441182
330,33.6505085652
331,34.0121004368
332,33.7234438302
333,32.7185355576
334,32.8231760886
335,33.1385122668
336,31.9321541872
337,31.207206604
338,32.2397052992
339,32.8021492124
340,32.6855016173
341,31.9073730862
342,30.4542346964
343,30.3293912672
344,29.9339921153
345,31.2950923538
346,28.1995797447
347,30.6694974343
348,25.7961196456
349,31.6527145067
350,27.0763651224
351,32.108467881
352,29.0494321222
353,32.7061566904
354,30.4156108733
355,32.7291028062
356,32.1245668239
357,32.199001819
358,31.5549226213
359,30.0630035607
360,28.0856182186
361,27.200299515
362,27.4503992885
363,27.2645317054
364,26.5830431047
365,27.0719629334
366,27.0846122195
367,26.4879895244
368,26.2407440842
369,26.7747581782
370,26.7496341358
371,27.347744149
372,27.2326674325
373,27.1777865661
374,26.3705370192
375,25.6733784727
376,26.4058615496
377,26.9455109604
378,26.2563458794
379,26.9023428884
380,27.1702633666
381,26.7998122021
382,26.3636867727
383,26.5640242726
384,25.7287527667
385,24.8076432859
386,25.9641633289
387,26.3680582688
388,25.945165584
389,26.0992371207
390,26.1172934436
391,26.7070425558
392,26.5470648742
393,25.7107349465
394,25.8283146646
395,25.5547355874
396,23.3289414672
397,23.8943214718
398,22.9759511493
399,22.1393304514
400,21.9018178054
401,21.7469079133
402,22.0754603179
403,21.8170331707
404,21.3165822086
405,22.7014134411
406,23.3084564325
407,24.2532587501
408,25.383962398
409,25.4476776999
410,25.0732906445
411,23.4892075618
412,23.4574587067
413,21.214338708
414,21.8438667362
415,23.0023964624
416,22.5874403523
417,21.1464216929
418,21.7566011878
419,21.6347349645
420,21.5747420183
421,21.7687094411
422,20.9008998956
423,21.3521345371
424,21.5704194134
425,22.0882922545
426,21.5808244112
427,21.8143992094
428,22.1848841718
429,23.2159132897
430,23.6808765661
431,24.0757327156
432,24.2382953349
433,22.8366759106
434,22.2650471329
435,21.4719288761
436,21.8161249089
437,21.6892716558
438,21.6123164463
439,20.8477870969
440,21.4144275653
441,21.0409705214
442,21.2949878722
443,22.2368191796
444,21.4404041588
445,21.6140427526
446,22.0730325357
447,20.9824514835
448,21.4669346719
449,21.1874724397
450,21.1339500087
451,21.7390866855
452,21.3327271389
453,21.3678764098
454,21.0774085408
455,20.7765290977
456,20.1020416496
457,20.4050037125
458,20.3063864788
459,20.447763446
460,21.2345576604
461,19.5852145097
462,20.3669029764
463,20.3224107433
464,20.9424505522
465,20.4032843381
466,20.7001332911
467,20.5706449765
468,20.5536131195
469,20.5165213563
470,20.5608884847
471,20.5831813458
472,20.7421408743
473,20.5680593348
474,20.9556310372
475,20.9809079637
476,20.8584056623
477,20.7480467328
478,21.2993355656
479,20.4856406195
480,20.7715162942
481,20.7729802322
482,21.059595486
483,20.8797440945
484,20.8049607086
485,20.9470258606
486,20.83367184
487,20.5543442636
488,20.6621568425
489,20.6598657095
490,20.9901370144
491,20.8667207461
492,21.2316666946
493,20.9050072645
494,20.6323435127
495,20.5947651313
496,20.6226047893
497,20.5783552207
498,20.9969262922
499,21.0323214639
500,20.8811339086
501,21.2395753258
502,21.5224642625
503,21.3507957324
504,21.7046341646
505,22.1007581292
506,22.3460009088
507,21.9454237971
508,21.7200206653
509,21.757103741
510,21.2175287225
511,21.5414124798
512,21.5889777436
513,22.5404364148
514,22.1251588126
515,22.6033176241
516,22.6714844307
517,22.1471116556
518,22.5537222807
519,20.9458177023
520,21.8176987361
521,21.781409085
522,21.0600442883
523,21.4809757209
524,21.1312576616
525,21.7361164283
526,21.5758912396
527,21.1087717525
528,22.0170563315
529,21.3692569478
530,21.455263456
531,22.2802802341
532,23.2400954707
533,24.2193665982
534,24.8350312017
535,25.3015962431
536,25.1390613232
537,25.027174124
538,24.0720861512
539,23.8810812849
540,22.6103237635
541,21.9182035621
542,21.6650816692
543,21.3435732151
544,20.9015508563
545,21.9574559978
546,21.7088295414
547,21.6422697881
548,22.1280266341
549,21.3489753194
550,22.1859340596
551,22.5795090624
552,21.5214433088
553,21.4460299729
554,20.563668583
555,20.2018141588
556,19.1593240127
557,17.8172470387
558,19.5233292327
559,18.530109109
560,20.2829787734
561,19.4388812526
562,19.0135822588
563,19.8861617019
564,20.3279151452
565,19.5742965629
566,20.1429968098
567,20.247148239
568,20.8586685062
569,21.9575380684
570,22.1692009951
571,23.0118618255
572,24.0924335311
573,24.2639331593
574,24.2057124832
575,24.3236968503
576,24.7343359925
577,24.7557529849
578,24.7350339435
579,24.8409394109
580,24.9379971189
581,25.3244520588
582,25.5628694126
583,25.2254080508
584,24.4189089659
585,24.4394469513
586,24.5930135226
587,24.1747872747
588,24.0855190564
589,24.2043906569
590,24.516642393
591,25.0655978571
592,25.35243251
593,24.9641683269
594,24.3254333789
595,23.8866538406
596,24.1600154035
597,23.9677547947
598,23.5828129386
599,23.3583641714
600,23.3615615989
601,23.5915360916
602,24.0733560784
603,24.3814489775
604,24.5102716881
605,24.4275361605
606,24.0759694786
607,23.5281543095
608,22.7158813662
609,22.6144957919
610,21.6289409245
611,21.3967159373
612,21.408015216
613,21.5668595423
614,20.5173110909
615,19.9754733299
616,19.8779774698
617,19.9605259251
618,20.6481371983
619,19.9683225409
620,19.627231399
621,20.9791793925
622,21.0312823599
623,21.2056261966
624,21.4106501759
625,21.2174703294
626,21.0172925121
627,19.9226079293
628,19.7126792859
629,19.393045026
630,18.9544611916
631,18.8129126792
632,18.7362723161
633,18.436134882
634,19.115139866
635,17.6702054624
636,18.8590348432
637,17.2278748576
638,17.8194309206
639,17.4461561504
640,18.6480838811
641,18.4060157067
642,18.4841356487
643,17.0173625458
644,18.0941496153
645,18.5640795283
646,18.5264693739
647,17.94771537
648,17.9490598221
649,17.9050605065
650,18.6419875495
651,17.2824292419
652,17.834690086
653,18.0378654209
654,18.0910629576
655,17.4200820144
656,16.9521394609
657,17.755575953
658,18.7833943939
659,17.7694058109
660,17.8489214609
661,16.8767314162
662,18.8951133049
663,18.4356159289
664,20.8318300378
665,22.5642893615
666,21.9243119927
667,21.7154306779
668,21.5140403967
669,22.6035002456
670,23.4631812734
671,23.3508084947
672,23.1018288625
673,23.531309155
674,23.9416543822
675,24.2239888979
676,24.148251404
677,23.5973837309
678,23.5714875222
679,23.5017167062
680,24.0556968945
681,24.2340007211
682,24.104312057
683,23.8323389322
684,24.1323883373
685,25.1559540358
686,25.4424013402
687,25.2994680224
688,24.9857778355
689,24.775537566
690,24.5433378204
691,22.4790346258
692,22.0802823157
693,22.0953650618
694,24.9550154126
695,22.7209229044
696,24.6082316774
697,25.6050928965
698,27.7389315073
699,26.5423862224
700,27.9309957194
701,27.5519978343
702,25.6681073207
703,25.5968033622
704,22.5613325175
705,23.2041434737
706,21.9672439651
707,22.0735386413
708,22.0638038101
709,23.1705053571
710,22.4151748475
711,23.5451757541
712,22.1423411145
713,23.6369016964
714,23.1692389051
715,24.7763011461
716,23.4373345851
717,24.5716105971
718,23.8548963619
719,24.7907024114
720,23.9297295362
721,24.3064315039
722,22.7078206337
723,21.0276207292
724,21.6881715673
725,19.0214754467
726,17.155623633
727,20.3551379687
728,15.1632451433
729,16.0936050384
730,18.9900486706
731,15.5300357112
732,17.4434126385
733,18.5014311124
734,15.3032228963
735,20.1993919689
736,19.3949186077
737,22.3374917191
738,20.4583489789
739,25.6790561309
740,19.7768340227
741,23.9898442516
742,18.8339281356
743,25.8865471136
744,18.315933072
745,26.8244235007
746,16.4350311192
747,23.5057572219
748,14.3348841366
749,19.7655044972
750,16.5971421098
751,16.7851691777
752,14.7675522702
753,16.7457048439
754,19.8551629095
755,23.6054202637
756,24.1744766933
757,23.6764893474
758,24.8321212361
759,24.0401381666
760,24.8618963237
761,24.7750298314
762,27.1817018543
763,24.8497878869
764,25.5781484859
765,24.8365702752
766,26.0433926486
767,24.311101327
768,26.3063313255
769,24.9802497805
770,26.9482213817
771,24.9911406832
772,26.8277506108
773,25.4086720316
774,26.4231576117
775,24.3975271566
776,27.084375024
777,26.3331172911
778,27.5187262029
779,26.3098739301
780,26.7458477136
781,25.6317049988
782,26.4757233328
783,26.5956147639
784,27.3298697233
785,27.1352596748
786,27.1374787026
787,26.6858294272
788,27.0394055716
789,27.5315851596
790,27.120464358
791,26.986206907
792,26.8983157283
793,26.7453640538
794,26.738772698
795,26.5648628493
796,26.3586693133
797,26.1551433696
798,25.6797707449
799,25.3771454222
800,25.314234263
801,25.9559127265
802,25.4559020629
803,26.3738142869
804,25.1605128152
805,27.1980844364
806,25.4517832496
807,23.8177510199
808,12.5117413176
809,18.8707508568
810,11.3437642623
811,16.2709222249
812,15.663617951
813,14.8362765421
814,15.5456694699
815,15.4459469548
816,16.1965026161
817,16.2192709754
818,14.7513548975
819,14.9603495783
820,14.2737276456
821,15.5803487285
822,15.7580373311
823,15.9679505169
824,15.7276813586
825,15.6537979108
826,15.5586291386
827,15.4810896357
828,15.0152343229
829,14.3852005573
830,14.5605191168
831,15.0703848498
832,15.5863493634
833,16.913633482
834,18.7280118759
835,18.5876546748
836,19.0972961873
837,19.245172342
838,19.1052118851
839,19.0187352863
840,18.9827858959
841,19.0528754019
842,18.216922256
843,16.1098747677
844,16.5025952402
845,19.568655715
846,20.1511982432
847,19.9418527691
848,19.437628172
849,19.1167195012
850,18.3270547122
851,18.7217206491
852,18.9668883226
853,19.3965478085
854,19.7929981966
855,19.8849635979
856,20.232080784
857,20.5312747287
858,20.9794685782
859,21.7063898188
860,22.0784122165
861,22.0934550203
862,22.8061947162
863,23.4616759328
864,23.6175463354
865,23.8686527517
866,24.1736111175
867,24.0120137637
868,24.0457487223
869,24.1788006263
870,24.3316733416
871,24.147167506
872,24.3802732239
873,24.4506425836
874,24.2543342002
875,24.3071303037
876,24.0190439746
877,23.9978427629
878,24.0150037969
879,23.8550979191
880,23.9645074475
881,23.8366343405
882,24.4492636138
883,24.7174143121
884,24.2324356139
885,25.2721880843
886,25.4262214347
887,25.5302933024
888,26.2068952857
889,27.3126110011
890,26.5429414646
891,26.4476396508
892,26.0527529856
893,24.5903847788
894,25.9990251201
895,27.6470442646
896,25.7523631499
897,24.551672059
898,25.1485099429
899,25.726063793
900,25.0791792343
901,24.9235379891
902,26.1358609586
903,23.3623002779
904,25.0648690548
905,26.5033521795
