,0
0,49.4093958
1,45.6148572931
2,43.2471397777
3,46.668041098
4,40.0567427037
5,44.2566407066
6,43.1166890307
7,45.6832196836
8,45.0345968643
9,47.9500270922
10,48.7027750921
11,48.9794419767
12,49.4797463751
13,48.9870592466
14,49.0554583929
15,49.4536223286
16,49.2539029811
17,49.1671456048
18,43.1580428094
19,45.6918869544
20,50.1494184875
21,49.8195506702
22,50.2981953462
23,50.2824070274
24,50.9097215455
25,52.5379086823
26,55.7852284435
27,60.2703644916
28,62.1900357847
29,63.5246810728
30,62.6238039038
31,58.7491428013
32,59.1580339451
33,56.1040215015
34,55.2045952741
35,60.1346892741
36,59.5721847731
37,59.4206360246
38,59.5457451075
39,58.8295962374
40,59.6567955868
41,61.0974763409
42,60.460202804
43,59.9257681119
44,59.5971402122
45,59.6719329397
46,59.2479441843
47,60.193870707
48,59.9301819756
49,59.0852248462
50,58.4017985564
51,61.000978028
52,62.0787429336
53,62.8083636783
54,62.628426436
55,63.4685728454
56,62.340625908
57,62.5307778993
58,62.3738784848
59,61.9880736943
60,62.5322412651
61,63.3275112065
62,63.3355848598
63,64.5982551091
64,65.0673190923
65,64.3327452455
66,65.3034297106
67,65.307708294
68,65.498993926
69,65.1475816688
70,65.366608326
71,65.5581773601
72,65.3360500955
73,65.6580428674
74,68.0219001276
75,67.5396601033
76,66.8047362331
77,67.2183062934
78,66.066425146
79,66.1923005798
80,66.3850830909
81,65.7284077464
82,65.8283859189
83,65.97068164
84,65.6044512827
85,65.7181909142
86,65.9457242011
87,65.9250607501
88,65.9005037411
89,65.7306072997
90,65.9352980773
91,65.4801384376
92,65.4278925507
93,65.2837195796
94,64.9585188775
95,64.4726914134
96,65.1297518427
97,65.49688909
98,66.0579225569
99,64.877929044
100,64.9906116964
101,63.6102924157
102,64.1246645865
103,62.0825070145
104,62.570623362
105,64.5400269653
106,64.1999914547
107,64.0011821644
108,64.9723883263
109,64.8059060717
110,63.9537068914
111,64.391422912
112,64.0944043602
113,65.1780147553
114,64.9561586325
115,64.286402732
116,64.3140040262
117,64.5812653538
118,63.3140200574
119,62.0743366457
120,62.5284763174
121,64.1308963263
122,64.6411223954
123,64.3855951168
124,62.8847958257
125,62.0910026033
126,60.970373303
127,59.1416807011
128,56.5158312189
129,54.540994784
130,55.3914790746
131,58.8090530485
132,58.0390527457
133,61.7941020509
134,61.5915945593
135,61.5136888047
136,63.7013169737
137,61.4052404398
138,60.1886873085
139,59.021800607
140,60.0921294178
141,61.2413530118
142,57.3227213319
143,60.6775783513
144,58.9267411048
145,58.4656794575
146,56.2273671486
147,59.6629218935
148,61.4308363106
149,63.3673450967
150,61.0704925571
151,62.254551135
152,61.9028640232
153,63.1278422901
154,63.1339494777
155,62.1245711907
156,61.6026818405
157,61.0843353702
158,60.2216731634
159,60.2771464452
160,59.0920321321
161,59.2804715322
162,59.8797510103
163,59.673663267
164,60.8661299344
165,62.6724057987
166,62.7143112542
167,62.0804053024
168,61.5754862735
169,54.1535795987
170,54.584107313
171,52.1629631617
172,48.6055713814
173,46.9232032453
174,41.8871776432
175,41.805670092
176,41.0065407152
177,39.9389038901
178,38.1739282346
179,42.0558543181
180,40.8887989361
181,38.7830317718
182,37.7182817453
183,38.8440615382
184,40.0339375776
185,44.418760701
186,45.8533843947
187,43.924754681
188,45.0428934017
189,56.1923703654
190,56.9380155343
191,55.9906594105
192,55.3542775709
193,55.5375258143
194,55.1466512023
195,54.7902140981
196,55.1137412982
197,57.105857815
198,55.7789428896
199,55.5637371321
200,55.9546518585
201,55.8780727308
202,55.2187491666
203,55.586934969
204,54.9037606578
205,54.3204026516
206,55.2760929721
207,54.6662485072
208,55.2087637324
209,55.4130087317
210,54.156004314
211,54.9516746938
212,53.7404549939
213,50.2606346065
214,51.5311749111
215,50.439444257
216,48.8608268803
217,48.4657612264
218,49.8423679597
219,50.5575801421
220,51.9391799728
221,53.4803204318
222,56.7526826341
223,54.9178070564
224,53.3986161172
225,52.8104447119
226,50.1445619174
227,49.3355002005
228,45.1944932947
229,47.3461937665
230,48.4383645118
231,38.6095244625
232,45.8017989797
233,45.8955998195
234,48.3270202074
235,51.7161572676
236,47.1701888562
237,43.7693031319
238,48.1307854724
239,46.9425614647
240,47.7556223985
241,48.0861172742
242,48.9494944484
243,49.424199849
244,49.0462234013
245,47.9816562745
246,48.1461799126
247,46.8141951156
248,42.2582965008
249,37.5833388938
250,41.9180778389
251,45.4845746842
252,44.5302016523
253,46.2033850508
254,48.5507556307
255,49.9798027057
256,50.2042390169
257,50.4561146639
258,51.8842342218
259,51.6673736046
260,52.5024247768
261,53.5765569486
262,53.5659356566
263,52.905463438
264,53.4267118575
265,55.230437898
266,53.2733314799
267,55.9705903041
268,55.9618868373
269,55.2284327351
270,55.4174166361
271,54.8491503215
272,55.4282989401
273,54.4643663893
274,55.095231526
275,54.3578120682
276,54.2656637073
277,52.7216911332
278,54.9709729972
279,54.0407280659
280,55.4661519958
281,54.9163728056
282,54.3681343554
283,50.9875958525
284,56.4179514402
285,55.8033848068
286,54.3265977269
287,54.3383636134
288,53.4182027713
289,55.6770071256
290,55.773348307
291,54.8622245203
292,56.0593408837
293,56.2810591497
294,58.8782268712
295,57.7502160975
296,56.4248148083
297,56.4845035366
298,54.258158367
299,54.4484046624
300,55.2999431232
301,54.974414617
302,55.0135717936
303,54.3454180009
304,54.6693227034
305,54.1922307875
306,51.1259200172
307,51.7211047607
308,51.5444887709
309,54.5209524277
310,53.1221471008
311,52.1666208932
312,50.3415132271
313,51.1493914181
314,51.3349612762
315,50.8456686987
316,41.7508815972
317,39.640686191
318,38.4824427212
319,36.482932803
320,36.7592164556
321,37.6516475984
322,33.9946167968
323,34.3533047488
324,36.2803327243
325,37.963738677
326,44.5722860165
327,39.7502313879
328,37.1642491059
329,34.330585788
330,33.6656458459
331,32.3584667197
332,31.9601246691
333,30.6936740152
334,30.6588703286
335,31.8526356374
336,29.7573157003
337,28.6199403516
338,29.6421559882
339,32.9732486626
340,32.8363331825
341,31.0912297371
342,28.836099686
343,27.1479241153
344,28.0407147711
345,27.7648357973
346,26.4319267326
347,26.0020837263
348,24.4721888026
349,25.3805984199
350,27.150325611
351,29.093523277
352,28.8716956471
353,29.5119371901
354,29.0872111647
355,30.2228740403
356,33.6707743023
357,36.5869092101
358,36.7989988026
359,35.4549430157
