,0
0,-282.415435077
1,11.6851002558
2,26.4058842826
3,15.6536980077
4,18.6000307759
5,24.0903529194
6,20.3822467232
7,16.3245842527
8,20.3312357259
9,21.3548182142
10,21.479906528
11,20.395666038
12,20.6993378715
13,20.1085146914
14,20.5994198573
15,20.660401134
16,20.0526597598
17,20.5902803156
18,20.9528439333
19,21.0261837777
20,21.3908687601
21,21.8474705187
22,21.9793729511
23,21.8306871302
24,21.7864799995
25,21.7923353243
26,21.6539644543
27,21.8531528305
28,21.9557587281
29,21.7310622369
30,21.8867587261
31,21.753093702
32,21.8176873659
33,21.8572828984
34,21.659491658
35,21.8185122521
36,21.66345448
37,21.6951063163
38,21.6283176219
39,21.7882460727
40,21.8822342955
41,21.8860949735
42,21.5060473608
43,21.4812269647
44,21.5032256104
45,21.7153312456
46,21.7290493921
47,22.1768991283
48,22.2823091978
49,22.2040162133
50,22.2462553591
51,22.4727205835
52,22.8602088797
53,23.0415679999
54,23.7208123829
55,23.7763062074
56,23.7967533204
57,23.371210404
58,23.1228207136
59,22.9169658743
60,22.3819010036
61,21.8176710914
62,21.5919364012
63,21.5644040588
64,21.808430747
65,21.7011804134
66,22.0058454872
67,21.9972980962
68,21.7600844067
69,21.4669542232
70,21.2052782958
71,21.2399919272
72,21.1512144724
73,21.4051504503
74,21.4187176059
75,21.234622409
76,21.3982162287
77,21.4616580074
78,21.5213994664
79,21.123508684
80,21.4991800343
81,21.5261584728
82,21.676920052
83,21.7981879047
84,21.3460628093
85,21.5055239295
86,21.2233128342
87,21.4666924458
88,21.6218214102
89,21.5908517842
90,21.5392203
91,21.684680265
92,21.7075959222
93,21.4776886
94,21.7559819125
95,21.946368716
96,22.1145609078
97,22.3660010999
98,22.4465113865
99,22.0948851705
100,22.1643126156
101,22.2552925957
102,22.1604937192
103,21.8398035765
104,21.3314340739
105,21.3471478203
106,21.2127177881
107,21.5794371805
108,21.6209508894
109,21.5219914428
110,21.6251922805
111,21.456991083
112,21.0327678083
113,21.4595665029
114,21.0947735086
115,21.3776372745
116,21.4521985757
117,20.9179780306
118,21.5632895049
119,21.2140634457
120,21.3041938251
121,21.54926378
122,21.4062408209
123,21.3635704993
124,21.4372378089
125,21.4329802057
126,21.4700184507
127,21.5337089163
128,21.3293819953
129,21.6029387827
130,21.6641241193
131,21.421025636
132,21.2984972443
133,21.7123967954
134,21.6213324185
135,21.7907105372
136,22.0229906425
137,21.9223391889
138,21.7227721414
139,22.0096406588
140,22.4242657161
141,22.6129110101
142,22.7448355494
143,22.9263459582
144,23.2010812744
145,23.2944408157
146,23.3292508851
147,23.2827340585
148,22.9539246551
149,22.8372154938
150,22.6701370873
151,22.5245917541
152,22.2837493126
153,22.4953439403
154,22.7285909192
155,22.6560774602
156,22.4968037095
157,22.3860338487
158,22.3632593003
159,22.6168415567
160,23.2297476005
161,23.0219697509
162,23.0722978448
163,23.3022642247
164,23.3366924482
165,23.1183495594
166,22.5206362262
167,21.3305424179
168,21.527098425
169,21.9751249043
170,21.9528430893
171,22.576951566
172,22.977401019
173,22.7893144748
174,22.9268367986
175,23.1044508577
176,23.5451625144
177,23.4183668352
178,23.3494198211
179,22.9502495286
180,22.66607376
181,22.7794182162
182,22.913537643
183,23.0631752979
184,23.3292811039
185,23.3219024767
186,23.4784665132
187,23.7849186813
188,23.3297065724
189,23.0528638285
190,22.907422838
191,22.961527745
192,22.9939928754
193,22.7132788985
194,22.9016383941
195,22.9535961713
196,23.0928596791
197,23.2442263692
198,23.2399275716
199,24.1562999653
200,24.0378691174
201,25.2005888853
202,25.6868301886
203,25.7662264996
204,22.7218751374
205,23.138085721
206,23.0433540525
207,22.7554558456
208,22.866150537
209,23.1320054824
210,23.3524183864
211,23.2986638513
212,23.3289605088
213,23.2102471399
214,23.0896124703
215,23.1518836999
216,22.9428316477
