,0
0,23.361321946
1,18.1216641846
2,16.8900599807
3,15.0984603647
4,17.4072719697
5,15.2817037794
6,15.5589084125
7,15.7910307702
8,16.1409688679
9,16.6691874274
10,16.6511453141
11,16.8242042251
12,16.4122794406
13,16.1212240287
14,16.3559508212
15,16.3617073979
16,16.5372493468
17,16.5884622208
18,16.9064406892
19,17.5503777601
20,18.2267288186
21,18.8658958191
22,18.9277204306
23,18.5763898845
24,18.3324125164
25,18.3532441801
26,18.2315676188
27,18.573072155
28,18.8221217092
29,18.3472227375
30,18.5245143279
31,18.4202579372
32,18.4410967054
33,18.6693112145
34,18.1456449418
35,18.5063757368
36,18.345080784
37,18.2418951103
38,18.3224350346
39,18.3352083228
40,18.9074695342
41,18.7173236925
42,17.9930948973
43,17.8276733359
44,17.78271693
45,18.4679405636
46,18.566195418
47,19.3622745545
48,19.6710738013
49,18.73265663
50,19.0186067261
51,19.3640021346
52,20.3793418993
53,20.5599598849
54,21.9737036508
55,20.8560713139
56,21.4774953867
57,21.48179189
58,20.826008871
59,20.4214423976
60,20.034475279
61,19.7766037795
62,19.5066555695
63,19.4000436433
64,19.7772379307
65,19.5264641372
66,19.72975748
67,19.9082753305
68,19.7124490382
69,19.4340557342
70,18.9291241247
71,18.0091376531
72,17.1641214118
73,17.3262087243
74,17.3800421526
75,17.2388146063
76,17.1426929305
77,17.2585127659
78,17.5588550363
79,17.2551920815
80,17.2701606196
81,17.5060756373
82,18.081400296
83,18.529526887
84,18.0242375556
85,17.7002836715
86,17.5281634597
87,17.5958017818
88,18.0994667604
89,18.182875704
90,18.0262815691
91,18.1876342296
92,18.2798938661
93,18.0726435553
94,18.2881264709
95,18.872494873
96,19.3315437402
97,19.6479742112
98,19.3604817358
99,18.5461125543
100,18.6607589114
101,18.988038982
102,18.8443865482
103,18.5441227064
104,17.6473691337
105,17.466446809
106,17.5028692987
107,18.1829870895
108,18.2294033631
109,17.9489211068
110,18.0104100942
111,17.8510677168
112,17.3723465561
113,17.221720602
114,17.0690798031
115,17.1997445639
116,17.1831469678
117,16.9651865509
118,16.9833203041
119,16.9241686159
120,17.1783013613
121,17.2489168887
122,17.4895801373
123,17.5990053931
124,17.573181567
125,17.6719594699
126,17.8113381562
127,17.9441992938
128,17.7603043807
129,17.9535963624
130,18.2627329683
131,18.0391060426
132,17.6495020951
133,18.0382731189
134,18.269628125
135,18.6872195799
136,19.0844443088
137,18.7576819348
138,18.3251903794
139,18.7144460252
140,19.8374449268
141,20.151428256
142,19.727092757
143,19.9983102436
144,21.0548111066
145,21.4146522523
146,21.1359662356
147,20.759019661
148,20.7679304114
149,20.6573613973
150,20.3564358681
151,20.3059509158
152,20.1599808931
153,20.5098165206
154,20.6298268235
155,20.5997581325
156,20.3539281523
157,20.2447956781
158,20.2848505026
159,20.6057117854
160,21.16753101
161,20.8621997246
162,20.8311460029
163,20.9316838821
164,21.0261932306
165,20.7823265451
166,20.185379685
167,19.3907100593
168,19.625809333
169,19.8411309845
170,19.9903906055
171,20.3357344092
172,20.6069655129
173,20.6442810726
174,20.641354272
175,20.772620919
176,21.1133098498
177,21.0389311982
178,20.8894460684
179,20.4176616375
180,20.2205884583
181,20.3792535333
182,20.6140238323
183,20.7731753883
184,20.911208779
185,20.873703844
186,20.9419991108
187,21.0941894442
188,20.8229144168
189,20.4161033682
190,20.2721596339
191,20.4288251084
192,20.5232173032
193,20.2931785533
194,20.4587939336
195,20.4486491704
196,20.7419798386
197,20.715272644
198,20.7596614787
199,21.2127540709
200,21.2601225356
201,21.7739595071
202,22.0621563337
203,22.7846086999
204,20.2528816292
205,19.6700637717
206,19.297298708
207,20.052911688
208,20.320865629
209,20.4194216859
210,20.6053807721
211,20.6121084118
212,20.5515626218
213,20.5097486747
214,20.3581873947
215,20.4657556746
216,20.3110003127
217,20.5110837349
218,20.4656621436
219,20.6053467885
220,20.9840459938
221,21.0030857682
222,21.0241872379
223,21.0730512198
224,21.2563938678
225,21.2185057489
226,21.320775719
227,21.5087911212
228,22.0563316276
229,21.1040930067
230,20.7803999757
231,21.0943368738
232,21.3932686712
233,21.0080061844
234,20.3821382316
235,20.8992291707
236,20.5616854479
237,20.9358261897
238,20.7170346877
239,21.0096579861
240,20.7703257791
241,20.8005642239
242,20.800007195
243,20.618575071
244,20.9866906964
245,20.7399405666
246,21.2611465317
247,21.0182726218
248,21.4852649982
249,21.002053845
250,21.1812088065
251,21.032079262
252,21.0552958309
253,21.2616738968
254,20.8189277179
255,22.2249642504
256,21.6667152575
257,21.4344113967
258,21.4100029652
259,21.1655779769
260,21.3644424766
261,21.095345053
262,21.1575929947
263,21.1736542812
264,20.8937997715
265,21.1972312949
266,20.7566259087
267,21.17883609
268,21.4009586433
269,22.5765250973
270,24.4383474236
271,23.204218471
272,25.5484988257
273,22.9929263135
274,25.3661821914
275,22.8210359658
276,24.7250795298
277,23.5113541919
278,23.2178728024
279,23.1873809813
280,24.0826296935
281,22.5992563677
282,24.2511157344
283,22.3467554364
284,23.0287826465
285,23.7614054862
286,24.5677028716
287,23.512330226
288,24.3010228969
289,24.1497976999
290,24.7063912031
291,24.4138302381
292,22.9649492487
293,25.3763091947
294,26.058042876
295,24.7967574584
296,24.6995968121
297,24.6809475726
298,26.4234797347
299,26.0453991798
300,25.8679787493
301,26.2129169696
302,24.9820917878
303,22.7527457476
304,26.0511310329
305,22.7977387725
306,23.1728824394
307,22.5560600264
308,24.0129856651
309,22.5489748337
310,22.8094752078
311,23.2107169294
312,22.1685251123
313,22.9114468627
314,23.0920946617
315,22.8831884626
316,22.1925565328
317,22.8910007703
318,22.2095536969
319,22.8466872489
320,22.1003935933
321,23.4990811937
322,21.9937445005
323,21.5967031534
324,21.7098448768
325,21.5439391645
326,21.1724064575
327,20.8552778558
328,20.9713631637
329,22.488261317
330,23.6524270748
331,21.8120831651
332,21.6268193629
333,21.8359673151
334,21.6461287591
335,21.4731168339
336,21.9692240476
337,21.7938141813
338,22.4370786235
339,21.3712779868
340,21.4291390092
341,22.1520536348
342,23.1116680822
343,22.6367997663
344,21.7898331221
345,21.8574960227
346,21.8383123672
347,22.0218362906
348,21.5642491968
349,21.1004717532
350,21.0718590431
351,21.0166764721
352,20.981303778
353,21.1008958456
354,21.1410015242
355,21.6650499295
356,22.2994911403
357,21.2136970224
358,22.1970655148
359,22.5986747221
360,23.1648775384
361,22.2557298534
362,22.4266547946
363,23.1806281591
364,21.6701924379
365,21.3588335921
366,21.6405271037
367,21.4775500481
368,21.2566142208
369,21.2206156298
370,20.7232673675
371,21.0024909989
372,20.6244781263
373,20.9051575347
374,20.3813121536
375,20.5309861868
376,20.5679553559
377,20.3447613478
378,20.4557573338
379,20.2078131034
380,20.5951794723
381,20.3895667305
382,21.2474732458
383,21.6370151034
384,21.4329709731
385,21.863326212
386,22.7178936187
387,24.1231673161
388,21.6557062165
389,22.0485326242
390,23.908183653
391,22.5992528413
392,23.9173187781
393,23.6243603052
394,23.8714936901
395,23.6913473857
396,24.7401661306
397,23.0638446306
398,24.8339314122
399,22.57577218
400,23.0396872869
401,23.8957538753
402,22.3231901967
403,22.2343320972
404,22.1785863829
405,23.0998874909
406,22.5981226931
407,22.9556872405
408,23.8540097338
409,23.2415073713
410,23.2957050586
411,23.9724404619
412,23.5879741179
413,24.8492704173
414,23.2663783063
415,25.9511437806
416,23.400372477
417,23.8433577457
418,24.6329889295
419,22.5816699606
420,24.5798151585
421,23.56355695
422,24.4303166141
423,23.1988106501
424,24.3590101507
425,23.4449835833
426,23.3553837271
427,23.316695673
428,22.37798577
429,22.43585091
430,21.837782827
431,21.6988639276
432,21.5345232769
433,21.2328540487
434,21.1017477199
435,21.048025675
436,20.788904402
437,20.7325715296
438,20.4265306377
439,20.6625231178
440,20.3463805003
441,20.8773803289
442,20.7431450118
443,20.8025914192
444,20.9041227442
445,20.8653931552
446,21.6715793396
447,21.8100583516
448,21.9131305722
449,20.7747877707
450,20.8947473577
451,20.6330608948
452,20.3212682493
453,20.2173863226
454,20.3674198759
455,22.1182372401
456,21.8004920074
457,22.6179560432
458,21.5394143805
459,21.6414027442
460,21.69508804
461,22.0541940823
462,21.4577854871
463,21.2701474181
464,21.8420574175
465,21.8839210414
466,22.2067609349
467,21.5596014573
468,21.3338238163
469,21.512689038
470,21.8713866422
471,22.0461965561
472,22.1467605641
473,23.5987073931
474,23.1934521157
475,22.5672045895
476,24.7031724559
477,23.3454263972
478,22.1600411974
479,24.1917337638
480,24.0821298648
481,22.6480071631
482,24.1716216819
483,24.0385668588
484,23.0885945732
485,24.3189057596
486,22.3593397697
487,22.1493738656
488,22.022503547
489,21.900928294
490,21.8145553292
491,21.3244088626
492,20.8581763145
493,21.3427319774
494,20.6904322476
495,21.1444328501
496,20.4023516247
497,20.6483386385
498,20.435598328
499,20.6128784635
500,21.0797675236
501,20.4044055057
502,21.0526216799
503,20.7745151808
504,21.2999478906
505,20.6616829788
506,20.6856965336
507,20.5603465058
508,20.8803631081
509,22.5683874632
510,22.567953926
511,23.0894143143
512,21.0658412803
513,21.7543001468
514,21.656152645
515,21.2270469954
516,21.3534306927
517,21.0946210399
518,20.9953814171
519,20.9347726686
520,20.4389623104
521,20.2119692784
522,20.809461007
523,21.5336812832
524,21.6566973283
525,21.4402659036
526,21.2470824332
527,21.1460938204
528,21.2640440567
529,20.8673163127
530,20.9992065154
531,20.8330630127
532,20.9147632318
533,20.7707976528
534,20.4337861564
535,20.4958587632
536,20.2014079599
537,20.1902191226
538,19.9537517376
539,20.0087288273
540,20.2068512558
541,20.0728579796
542,19.8761429879
543,19.925134744
544,19.9022916762
545,20.1863014336
546,20.4136588731
547,20.4242566573
548,20.070882388
549,19.5820311077
550,19.6737841957
551,20.0831243575
552,20.0284644609
553,19.7233757073
554,19.8734500564
555,21.1013155342
556,22.1430405949
557,22.7179314439
558,21.3492900354
559,22.1228568214
560,21.2420244945
561,22.2074573381
562,20.9398836932
563,20.2625388966
564,20.5525327223
565,20.6096093623
566,21.2729435437
567,20.953762243
568,21.7076737101
569,22.4431914796
570,22.3488127678
571,21.2491567743
572,20.2179765502
573,21.354024753
574,21.678967047
575,21.2744425195
576,21.104742666
577,20.6763500774
578,20.9471364429
579,20.4751413497
580,20.8926293404
581,20.8554971891
582,20.9048363252
583,23.1101719064
584,24.6328491634
585,22.792877129
