,0
0,24.5397996249
1,16.2816292181
2,15.2259169306
3,16.0082179216
4,16.3398428691
5,16.5495391366
6,16.0482490561
7,15.763964507
8,15.7486866006
9,15.9082780326
10,16.4349246497
11,16.7082015
12,15.9868417461
13,16.061298771
14,15.4399502336
15,18.5123015522
16,26.2529557876
17,23.0934772775
18,20.5766409388
19,20.290843612
20,21.9707003142
21,25.1299361342
22,23.221943351
23,21.6712479385
24,21.9093632489
25,22.662959407
26,23.1200889853
27,23.2451189428
28,22.7601800539
29,22.3981695863
30,22.3535319813
31,22.2589998602
32,22.9400825975
33,23.0308578545
34,22.6639141642
35,22.4187467227
36,22.2938049788
37,22.9085125914
38,22.9151887162
39,22.7848980765
40,22.6091124861
41,22.6970031489
42,22.4586251302
43,22.2141891585
44,22.352133281
45,23.2431475438
46,23.4324510871
47,23.1142626406
48,22.320153444
49,21.9541432355
50,21.7596288402
51,22.01405434
52,23.1357053364
53,23.5625859828
54,22.9793654713
55,21.2517581117
56,20.8625016551
57,20.6098004968
58,21.2066641171
59,22.281118845
60,23.3234380858
61,23.0146827391
62,21.6103832542
63,21.7930520943
64,23.5137968698
65,23.788155373
66,22.8538561934
67,21.7637277003
68,21.9590337908
69,22.5967622052
70,22.7929797302
71,22.9102928646
72,23.1270351932
73,23.1600526453
74,22.8224621731
75,22.646413804
76,22.7356705545
77,22.890080653
78,22.9184056441
79,22.7727551425
80,22.8416401924
81,22.6165794484
82,22.7178642832
83,23.0198990067
84,22.7968949505
85,22.317671321
86,21.7775103912
87,22.6816103699
88,23.5410586452
89,23.2553753705
90,22.4461966305
91,22.040605305
92,22.2839372593
93,22.8602436688
94,23.1087301403
95,22.604582248
96,22.6517818054
97,22.8501569247
98,22.2250608079
99,21.2138992183
100,21.4104179188
101,22.3422966062
102,23.6576988611
103,23.2591289156
104,21.7807675779
105,21.4001523075
106,22.5338852006
107,24.0590151911
108,23.5015151087
109,22.3077176413
110,21.6659971943
111,22.0299542455
112,23.057618617
113,23.3913047907
114,22.722778188
115,22.4352070611
116,22.5510420652
