,0
0,23.6592786971
1,23.2979436242
2,23.3832343724
3,23.57916814
4,23.6716950066
5,23.5915106469
6,23.4949307583
7,23.5070531864
8,23.5516609117
9,23.5182792859
10,23.4386227056
11,23.4724490403
12,23.4889690551
13,23.5345975998
14,23.6164273879
15,23.5099737399
16,23.399310565
17,23.4331829268
18,23.4156130205
19,23.3565487844
20,23.265318232
21,23.2612626966
22,23.2332945726
23,23.1018875073
24,22.9704707582
25,23.1892224946
26,23.4413995003
27,23.4031292953
28,23.2901793568
29,23.3651909841
30,23.4432136368
31,23.3385827609
32,23.3042217104
33,23.3357928575
34,23.6162510564
35,23.6196684102
36,23.3773224772
37,23.4276687863
38,23.7377016966
39,23.8251744262
40,23.7907566395
41,23.8630335842
42,23.7757149686
43,23.6569356883
44,23.5863172055
45,23.6606668035
46,23.9639621666
47,24.0337378935
48,23.878622606
49,23.9276147304
50,23.931089914
51,23.8594372174
52,23.9183679356
53,24.1275333048
54,24.3616656083
55,24.4950301009
56,24.5038562028
57,24.7465063745
58,24.684224323
59,24.5568875848
60,24.5910606945
61,24.8263197233
62,24.6901955689
63,24.7369604807
64,24.8236769889
65,24.7356849013
66,24.4792653139
67,24.5189213148
68,24.6215591872
69,24.412346198
70,24.4521381063
71,24.5019135691
72,24.318371627
73,24.3944643548
74,24.1337783203
75,23.9450555204
76,23.8215863027
77,23.6207115656
78,23.4497955682
79,23.4399326917
80,23.4813861811
81,23.5997630938
82,23.7572862669
83,23.6700405679
84,23.4683608425
85,23.3798162864
86,23.4000931223
87,23.3965748687
88,23.4045539979
89,23.3989794439
90,23.3671837125
91,23.1439801598
92,23.1191492557
93,23.0171920171
94,22.870220017
95,22.9688209346
96,23.0649472465
97,22.9966502069
98,22.8738426244
99,22.8051764869
100,23.1328200009
101,23.4570272355
102,23.6762250866
103,23.993120025
104,23.9388793533
105,23.8500054883
106,23.9098202553
107,23.9239199494
108,23.8986810558
109,23.9730305011
110,23.9845693644
111,23.944762208
112,24.0906325071
113,24.2379570494
114,24.1501356896
115,24.0067600035
116,23.8954987759
117,23.8230872774
118,23.7490079785
119,23.4775079563
120,23.4993701085
121,23.6114134375
122,23.7795148699
123,23.8698744437
124,23.8465557304
125,23.9534413654
126,24.0529292431
127,24.027658433
128,23.8925664852
129,23.8496630252
130,23.7312847597
131,23.7665885958
132,23.682217171
133,23.6345533807
134,23.6163717463
135,23.7329815005
136,23.8211120417
137,23.7305550001
138,23.590859268
139,23.5864318378
140,23.6239598155
141,23.5529075815
142,23.545904038
143,23.5142990177
144,23.3211889145
145,23.3708707217
146,23.2063707407
147,23.3793158194
148,23.3112916554
149,23.132427273
150,23.1246464119
151,23.2666939767
152,23.4227829669
153,23.2701575755
154,23.4451135229
155,23.5228710951
156,23.3971051006
157,23.4966883415
158,23.5025450705
159,23.3584249062
160,23.3188479044
161,23.5483463382
162,23.8931664074
163,23.9001732672
164,23.8315653988
165,23.7948453589
166,23.7279241421
167,23.3784089213
168,23.2581798433
169,23.1428344006
170,23.0994940818
171,22.8537420081
172,22.8858361074
173,22.8218139146
174,22.5748489574
175,22.4012302932
176,22.4181548003
177,22.7670243466
178,23.0117990139
179,23.3098824191
180,23.4496140097
181,23.6199429039
182,23.4408499135
183,23.175014244
184,23.1706564541
185,23.384328202
186,23.4449235549
187,23.5089496818
188,23.7559455829
189,23.8101569678
190,24.0481346487
191,24.440503372
192,24.556733983
193,24.6958002481
194,25.2613994939
195,24.6996338042
196,23.8552012133
197,23.920317397
198,24.704815705
199,25.3206201087
200,24.6608502109
201,24.1774943258
202,23.8781911169
203,23.6641950546
204,23.9187891261
205,24.0844578824
206,24.081357007
207,23.9452442242
208,23.979341588
209,24.00059364
210,24.0312354751
211,25.0959612768
212,25.8470566579
213,25.833542999
214,25.6971484146
215,25.7310697079
216,25.7098281352
217,25.2495464936
218,25.0985412619
219,25.2661424676
220,25.4041684778
221,25.3219963823
222,25.4883607956
223,25.6143727867
224,25.748880907
225,26.038274722
226,26.2245529435
227,26.4303733928
228,26.6632037358
229,26.7783510998
230,26.4712316277
231,26.53518143
232,26.7711449589
233,26.8280554206
234,26.8232376295
235,26.7256425621
236,26.564102325
237,26.4866303289
238,26.2355011741
239,26.2035432081
240,26.0686342333
241,26.009178766
242,25.9109559675
243,25.8763076902
244,26.0826168843
245,26.174196075
246,26.0459195775
247,26.0917098933
248,26.1438197371
249,26.0382812801
250,25.9596081522
251,25.9951145431
252,26.1801169898
253,26.1385662098
254,26.0913807803
255,25.8048351228
256,25.6372602488
257,25.4241083042
258,25.0674482679
259,24.8080721283
260,24.8160755531
261,24.8283492141
262,24.8058337366
263,24.6641515187
264,24.4749357178
265,24.4253714999
266,24.4945734827
267,24.528638008
268,24.5159733708
269,24.4698830957
270,24.3130498326
271,23.8784481013
272,23.5707329681
273,23.5178422687
274,23.6840806659
275,23.7330919696
276,23.6209345341
277,23.6136226272
278,23.5396066662
279,23.4253657323
280,23.1799648624
281,23.0745591972
282,23.1479714686
283,23.4637059724
284,23.6144918262
285,23.4184871641
286,23.5025386357
287,23.6401204686
288,23.5392756784
289,23.2496886663
290,23.175709439
291,23.2558059062
292,23.44518367
293,23.5925181039
294,23.7946612344
295,23.8434492155
296,23.4023557737
297,22.9825329548
298,22.9796280913
299,23.2375290014
300,23.6686316665
301,23.6980141856
302,23.5269927138
303,23.5145226849
304,23.6372750305
305,23.7121500561
306,23.5969456264
307,23.4985273491
308,23.7407368234
309,23.9603742431
310,23.7344930434
311,23.1661445256
312,22.923869412
313,22.8089019553
314,23.2541466205
315,23.4485844935
316,23.0972911717
317,22.6136454732
318,22.7434240531
319,23.0467316603
320,23.0088331596
321,22.8266665749
322,22.6620191311
323,22.6844049237
324,22.9138334358
325,23.167582513
326,23.4404319589
327,23.5107376009
328,23.2079923283
329,23.1329251274
330,23.9556642732
331,24.370400124
332,24.2143468047
333,24.2771640317
334,24.4039389714
335,24.4618470474
336,24.4437919247
337,24.3971409674
338,24.4922954088
339,24.6320981352
340,24.5124557733
341,24.3480251618
342,24.34710002
343,24.453408451
344,24.427894363
345,24.4595421892
346,24.6285140441
347,24.8230634267
348,24.9362214921
349,25.0389973538
350,25.3254437004
351,25.6065063823
352,25.6577487729
353,25.6104882241
354,25.5962861335
355,24.6926469417
356,24.2621751504
357,24.1452311341
358,24.1543430466
359,24.2610073427
360,24.3451286846
361,24.2547216234
362,23.9666628613
363,23.8098080834
364,24.0487872502
365,24.3636657994
366,24.5223068118
367,24.5252521495
368,24.4824519883
369,24.1557234216
370,23.9850098521
371,24.1104282251
372,24.1887388395
373,23.9027350804
374,23.5566754306
375,23.5916077911
376,23.5761753143
377,23.4740438313
378,23.4389257325
379,23.3209618792
380,23.2405347147
381,23.2143626734
382,23.1743401166
383,23.0661603435
384,23.0216527971
385,22.9941803874
386,22.9908822092
387,23.0222928679
388,22.9555679648
389,22.5493691833
390,22.645887386
391,22.7966938972
392,22.831582849
393,22.9283218745
394,22.6451677713
395,22.355633557
396,22.2342209871
397,22.2643646344
398,22.3611546262
399,22.4666372544
400,22.344555894
401,22.2945855874
402,22.1676461412
403,22.151318316
404,22.206940658
405,22.418292542
406,22.3041699601
407,22.1915046984
408,22.0239423547
409,22.2299827694
410,22.3587942444
411,22.5478986861
412,22.8383520463
413,22.7616895586
414,22.6353918914
415,22.9536939056
416,23.1173987987
417,23.1193853663
418,23.0205644242
419,22.892043389
420,22.8954537784
421,23.007163502
422,23.189634937
423,22.8921363513
424,22.6345031549
425,22.7023177371
426,22.3992609494
427,22.311826328
428,22.3257888808
429,22.1725519552
430,22.1892572304
431,22.2207283305
432,21.6788646299
433,21.5324600288
434,21.7304236114
435,21.2931716573
436,21.2440315625
437,21.3842341443
438,21.0043686789
439,20.9977059005
440,21.0481965739
441,21.0447396428
442,21.2533336632
443,20.9936741174
444,21.0309585546
445,20.8209838277
446,20.9628254027
447,20.9457130889
448,20.7388046823
449,20.5945243966
450,20.7772192151
451,20.6214928376
452,22.0028483847
453,21.7113412394
454,21.1550890294
455,21.2900567802
456,21.5204349074
457,21.6708741723
458,21.8287475825
459,22.4881937437
460,22.406067223
461,22.2177564495
462,22.344041325
463,22.0965762441
464,21.6842508166
465,21.6309535571
466,22.019986897
467,21.894328123
468,21.685563957
469,21.2910929087
470,21.5076074518
471,21.2764430656
472,21.5906989493
473,21.7917593848
474,21.6456776601
475,21.3703752427
476,20.8141064172
477,20.7041706842
478,20.3742616777
479,20.5451430634
480,20.5328546495
481,20.46093067
482,21.1359005351
483,20.8764389828
484,21.0821403945
485,21.1529409408
486,21.3224565138
487,21.3909238078
488,20.9888513297
489,20.7570588948
490,20.715162342
491,20.3079094737
492,20.2844752163
493,20.8053854108
494,20.6712190361
495,20.4939686137
496,20.3346597546
497,20.0880921812
498,20.3780745771
499,20.4517775048
500,20.4125628797
501,20.4857018214
502,20.2765748986
503,20.4629801081
504,20.4968704566
505,19.823230473
506,20.0692457463
507,20.4903690632
508,20.5649808412
509,20.5530017895
510,20.3386834088
511,20.6779669009
512,20.7177309155
513,20.7379468083
514,20.4124402432
515,20.2685217369
516,20.4457597955
517,20.4842575794
518,20.7197638195
519,20.5943119605
520,20.4008804304
521,20.3190477359
522,19.8749547844
523,20.0013067157
524,16.9896481792
525,14.9901458551
526,13.815305357
527,15.8701783353
528,15.7418645948
529,14.9873162329
530,11.8135583289
531,11.7781162794
532,7.68001714142
533,9.65259130946
534,12.8086435315
535,10.3531097581
536,8.62485619687
537,8.18384308276
538,10.2230903216
539,8.44510705642
540,5.20987284225
541,8.99771169105
542,8.49148793225
543,8.40678672624
544,7.77891916384
545,9.50202330678
546,7.29418266665
547,12.4006211545
548,9.0914325799
549,9.74105734863
550,9.2128070981
551,7.38679140787
552,8.20398975079
553,10.5814517399
554,11.7255212862
555,12.0789782085
556,12.1330453662
557,11.2610649471
558,10.0593346671
559,10.790214078
560,10.4732971737
561,7.31800389528
562,12.3833793199
563,11.1795200722
564,9.98562175422
565,11.4149576691
566,9.09334153077
567,9.06854193241
568,11.5632738306
569,9.06251368553
570,5.02728698895
571,10.1423136933
572,8.53971941471
573,8.1465259213
574,9.6889560352
575,10.6304787689
576,8.66219432614
577,10.7323800823
578,13.299657795
579,9.97314830718
580,7.36274301084
581,9.52813425765
582,9.96645950208
583,9.26503162513
584,11.3214796652
585,7.76868894419
586,11.2868906676
587,10.0207037274
588,14.5003641448
589,11.9951921427
590,12.6809859346
591,13.203220215
592,12.8064947348
593,14.1760093337
594,12.6708081243
595,14.8592067556
596,13.9163466573
597,15.1940252747
598,16.2342468213
599,15.4300383984
600,15.3292231705
601,15.9267674653
602,14.923128919
603,15.8879254908
604,15.6934629118
605,15.2075936024
606,16.8312788874
607,16.0102987598
608,16.5518227906
609,16.9339534428
610,16.260463363
611,15.8544757641
612,15.6444789465
613,15.4163278887
614,15.4467583366
615,15.5282238314
616,15.9519017464
617,15.9280188429
618,15.7133056823
619,16.0018134738
620,16.0711579968
621,15.8296704895
622,15.7155422807
623,15.830998779
624,15.7326433209
625,15.6174155152
626,15.854297093
627,15.5845468905
628,15.7124787435
629,15.6931316159
630,15.6344191298
631,16.0635002114
632,16.0370067264
633,15.9485617144
634,16.0097762981
635,16.066441827
636,16.0283143508
637,16.1008170452
638,16.273193878
639,16.3717147974
640,16.3154779414
641,16.6871724457
642,16.9613822513
643,16.9142503426
644,16.7487350131
645,16.7194626579
646,16.737954274
647,16.7111241039
648,17.2673306338
649,17.3193057405
650,17.2065187153
651,17.5298033273
652,17.8227973869
653,17.6530582278
654,18.0542456488
655,18.9293904248
656,19.0162479952
657,18.9008697662
658,18.9152422433
659,19.1899614233
660,19.3843930055
661,19.6104450427
662,18.9701945037
663,18.8295480531
